date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:36	1447/1447	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:1610579624-ssl-df	https://goofy-euclid-1cd736.netlify.app/robots.txt		(from )
20:18:37	20483/20483	---MCZ	200	added ('OK')	text/html	etag:%226795ae4503d606dc1f7b650fae7caf46-ssl-df%22	https://goofy-euclid-1cd736.netlify.app/	goofy-euclid-1cd736.netlify.app/index.html	(from )
20:18:37	564/564	---MC-	200	added ('OK')	text/css	date:Sat,%2030%20Jan%202021%2001:18:39%20GMT	https://fonts.googleapis.com/css?family=Heebo:400,700|Oxygen:700	fonts.googleapis.com/css3848.css	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:39	63974/63974	---MCZ	200	added ('OK')	text/css	etag:%2211033b69866c995154113dbe6595dfae-ssl-df%22	https://goofy-euclid-1cd736.netlify.app/landing-page/dist/css/style.css	goofy-euclid-1cd736.netlify.app/landing-page/dist/css/style.css	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:39	16563/16563	---M-Z	200	added ('OK')	application/javascript	etag:W/%2240b3-0rowMlij7QDnmzzWAmr64JMxBK4%22	https://unpkg.com/scrollreveal@4.0.5/dist/scrollreveal.min.js	unpkg.com/scrollreveal@4.0.5/dist/scrollreveal.min.js	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:41	137388/137388	---MC-	200	added ('OK')	application/javascript	date:Sat,%2030%20Jan%202021%2001:18:42%20GMT	https://www.googletagmanager.com/gtag/js?id=G-DD3R78E3TJ	www.googletagmanager.com/gtag/js16fc	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:41	51/51	---M-Z	404	error ('Not%20Found')	text/plain	etag:W/%2233-bs6mHBr4RyWTNy7ZQwzWo4zmI70%22	https://cdn.jsdelivr.net/npm/@elastic/app-search-javascript@7.10.0/dist/elastic_app_search.umd.js	cdn.jsdelivr.net/npm/@elastic/app-search-javascript@7.10.0/dist/elastic_app_search.umd.4.delayed	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:43	3156/3156	---MCZ	404	error ('Not%20Found')	text/html	etag:1610579624-ssl-df	https://goofy-euclid-1cd736.netlify.app/jquery.swiftype.search.js	goofy-euclid-1cd736.netlify.app/jquery.swiftype.search.js	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:44	88145/88145	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:44	230118/230118	---M-Z	200	added ('OK')	application/javascript	etag:%22bb05f86e9bc5f6d79c8ef951d17042e5-ssl-df%22	https://identity.netlify.com/v1/netlify-identity-widget.js	identity.netlify.com/v1/netlify-identity-widget.js	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:45	1104/1104	---M-Z	200	added ('OK')	application/javascript	etag:%22b2d72bf25a1da8da3b3364f0f1578bfb-ssl-df%22	https://goofy-euclid-1cd736.netlify.app/netlify.js	goofy-euclid-1cd736.netlify.app/netlify.js	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:46	3156/3156	---MCZ	404	error ('Not%20Found')	text/html	etag:1610579624-ssl-df	https://goofy-euclid-1cd736.netlify.app/javascripts/sentry.js	goofy-euclid-1cd736.netlify.app/javascripts/sentry.js	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:48	137519/137519	---MC-	200	added ('OK')	application/javascript	date:Sat,%2030%20Jan%202021%2001:18:49%20GMT	https://www.googletagmanager.com/gtag/js?id=G-74W6FHPF29	www.googletagmanager.com/gtag/jsd33b	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:49	15822/15822	---MCZ	200	added ('OK')	text/html	etag:%22e57be26e57369c8fe30a1bd39c287b50-ssl-df%22	https://goofy-euclid-1cd736.netlify.app/core-site/page-contact.html	goofy-euclid-1cd736.netlify.app/core-site/page-contact.html	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:49	3828/3828	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%228fe63015681a6bf48a01caf6fee42e67-ssl-df%22	https://goofy-euclid-1cd736.netlify.app/core-site/other-pages/Student-Profiles/index.html	goofy-euclid-1cd736.netlify.app/core-site/other-pages/Student-Profiles/index.c.delayed	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:50	14737/14737	---MCZ	200	added ('OK')	text/html	etag:%228fe63015681a6bf48a01caf6fee42e67-ssl-df%22	https://goofy-euclid-1cd736.netlify.app/core-site/other-pages/student-profiles/	goofy-euclid-1cd736.netlify.app/core-site/other-pages/student-profiles/index.html	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:51	14059/14059	---MCZ	200	added ('OK')	text/html	etag:%22560182e7ccde08ac32811a6903e76e1a-ssl-df%22	https://goofy-euclid-1cd736.netlify.app/2-content/core-content/cheat-sheets/pdf/index.html	goofy-euclid-1cd736.netlify.app/2-content/core-content/cheat-sheets/pdf/index.html	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:52	316444/316444	---M--	200	added ('OK')	image/png	etag:%225fe9af5ea5ee559024f3de40ae4da071-ssl%22	https://goofy-euclid-1cd736.netlify.app/landing-page/dist/images/iphone-hero-bg.png	goofy-euclid-1cd736.netlify.app/landing-page/dist/images/iphone-hero-bg.png	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:55	397884/397884	---M--	200	added ('OK')	image/png	etag:%222297e876d876f178b61167d56e848a54-ssl%22	https://goofy-euclid-1cd736.netlify.app/landing-page/dist/images/iphone-feature-bg-02.png	goofy-euclid-1cd736.netlify.app/landing-page/dist/images/iphone-feature-bg-02.png	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:55	411550/411550	---M--	200	added ('OK')	image/png	etag:%22dfaa5c6eaaefb7193800483fee30abb3-ssl%22	https://goofy-euclid-1cd736.netlify.app/landing-page/dist/images/iphone-feature-bg-01.png	goofy-euclid-1cd736.netlify.app/landing-page/dist/images/iphone-feature-bg-01.png	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:56	90481/90481	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Jan%202021%2019:32:56%20GMT	https://nodejs.dev/	nodejs.dev/index.html	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:57	46047/46047	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Jan%202021%2001:18:56%20GMT	https://www.youtube.com/embed/FpqQL9mspeI	www.youtube.com/embed/FpqQL9mspeI.html	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:57	23708/23708	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Jan%202021%2001:19:00%20GMT	https://www.npmjs.com/	www.npmjs.com/index.html	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:58	46053/46053	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Jan%202021%2001:18:57%20GMT	https://www.youtube.com/embed/VoI2d4Tfmxs	www.youtube.com/embed/VoI2d4Tfmxs.html	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:58	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2030%20Jan%202021%2001:18:57%20GMT	https://developer.mozilla.org/	developer.mozilla.org/index.html	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:58	1503/1503	---M-Z	200	added ('OK')	text/html	etag:%225df-52e5b399c4ec0;5288c149e3b80-gzip%22	https://www.w3.org/2000/svg	www.w3.org/2000/svg.html	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:59	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2030%20Jan%202021%2001:19:00%20GMT	https://www.instagram.com/p/Bxh6moVlBGX/?utm_source=ig_embed&utm_campaign=loading	www.instagram.com/p/Bxh6moVlBGX/index72df.html	(from https://goofy-euclid-1cd736.netlify.app/)
20:18:59	1005/1005	---M-Z	200	added ('OK')	text/html	etag:%223ed-36aa630531a80;91-45d2642d15c80-gzip%22	https://www.w3.org/1999/xlink	www.w3.org/1999/xlink.html	(from https://goofy-euclid-1cd736.netlify.app/)
20:19:00	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2030%20Jan%202021%2001:19:02%20GMT	http://www.instagram.com/embed.js	www.instagram.com/embed.15.delayed	(from https://goofy-euclid-1cd736.netlify.app/)
20:19:01	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2030%20Jan%202021%2001:19:03%20GMT	https://www.instagram.com/embed.js	www.instagram.com/embed.js	(from https://goofy-euclid-1cd736.netlify.app/)
20:19:02	15726/15726	---M-Z	200	added ('OK')	text/javascript	etag:%2255a0aa33cf46%22	https://www.instagram.com/static/bundles/metro/EmbedSDK.js/55a0aa33cf46.js	www.instagram.com/static/bundles/metro/EmbedSDK.js/55a0aa33cf46.js	(from https://goofy-euclid-1cd736.netlify.app/)
20:19:03	1624/1624	---M--	200	added ('OK')	image/png	etag:%223dded48a224c07b2e0da947909a6fbe0-ssl%22	https://goofy-euclid-1cd736.netlify.app/landing-page/dist/images/logo.png	goofy-euclid-1cd736.netlify.app/landing-page/dist/images/logo.png	(from https://goofy-euclid-1cd736.netlify.app/)
